Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,employer provided,min_salary,max_salary,average_salary,company_text,job_state,job_town,age,sql_yn,python_yn,excel_yn,ML_yn,tableau_yn,tensorflow_yn,aws_yn,spark_yn,nlp_yn
Data Scientist/Machine Learning,"$93K-$149K
(Glassdoor est.)","Data Scientist/Machine Learning

Mist, a Juniper Company, is the first vendor to bring enterprise-grade Wi-Fi, BLE and IoT together through a highly scalable cloud architecture. At Mist, we built the first AI-empowered platform to provide an unprecedented visibility into the user experience. Mist is the new global standard for many fortune 500 companies.

The mission of the Data Science team at Mist is to leverage state-of-art ML and AI technologies to build the next-generation self-driving network solution, which can take actions on behalf of or together with human experts to automatically monitor, detect and remediate common network issues. The team includes a group of experienced and talented data scientists and data science engineers, and builds the end-to-end data analytics infrastructure and ML models of the product.

Now we are looking for a Senior Data Scientist to help define and expand this mission. As a data scientist, you will collaborate with product managers and domain experts to identify use-impacting real customer problems, use your deep DS/ML knowledge to develop data-driven solution with terabytes data, and work closely with data engineers to implement and scale the models in production.

Qualifications/Requirements:
• MS or PhD in Computer Science, Electrical Engineering, Statistics, Applied Math or equivalent fields with strong mathematical background
• Excellent understanding of machine learning techniques and algorithms, including clustering, anomaly detection, optimization, neural network etc
• 3+ years experiences building data science-driven solutions including data collection, feature selection, model training, post-deployment validation
• Strong hands-on coding skills (preferably in Python) processing large-scale data set and developing machine learning models
• Familiar with one or more machine learning or statistical modeling tools such as Numpy, ScikitLearn, MLlib, Tensorflow
• Good team worker with excellent communication skills written, verbal and presentation

Desired Experience:
• Experience with AWS, S3, Flink, Spark, Kafka, ElasticSearch
• Knowledge and experience with NLP technology
• Previous work in a start-up environment

Juniper Networks is enrolled in E-Verify® and will be participating in E-Verify in addition to our Form I-9 process. www.dhs.gov/E-Verify
Juniper Networks is an Equal Opportunity/Affirmative Action Employer.",3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,93,149,121.0,Juniper Networks,CA,Cupertino,24,0,1,1,1,0,1,1,1,1
"Data Scientist - Statistics, Early Career","$68K-$111K
(Glassdoor est.)","*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,68,111,89.5,Pacific Northwest National Laboratory,WA,Seattle,55,0,0,1,1,0,0,0,0,0
Data Scientist (Engineering),"$116K-$181K
(Glassdoor est.)","Zynga is a leading developer of the world’s most popular social games that are played by people around the world every single day. To-date, more than 1 billion people have played our games across Web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, Hit it Rich! Slots and CSR.

Zynga’s Marketing Data Science and Analytics team uses our outstanding and expansive data to deliver fundamental insights on who our audience is, how they engage with our games, and what are the best ways to acquire them. We strive for a better understanding of our players which translates into challenges and features that delight them.

Here’s where you would come in: identify and formalize problems related to campaign optimization. Design and develop systems and services to optimize campaigns at scale. Be innovative, be creative, use every bit of that key commodity – data. Millions of people play Zynga games every day, so our data is tremendously rich, and we have a lot of it!

We will rely on you to communicate your findings to your peers – both technical and non-technical. Your solutions to difficult problems will need to be demonstrably impactful, visual and maintainable. You will collaborate with engineering teams to build proof-of-concept and MVPs of campaign bidders and optimizers. You will collaborate with User Acquisition Managers, Product Managers, and Engineers to deliver business impact.

Responsibilities:
Design and implement scalable systems and models to experiment with campaigns and creatives across channels and acquire users at scale
Work with large amounts of data to find and realize opportunities to acquire and re-target users profitably delivering unambiguous business metric impact
Craft effective campaign strategies to acquire users across a multitude of user acquisition channels
Drive and empower user acquisition team to make quantitatively informed, evidence based decisions - through custom visualizations, and ETLs to augment user data
Design, test, verify and implement machine learning models with Zynga’s games that impact millions of users. Models may include but not limited to LTV modelling, campaign bid recommendations, budget allocation, clustering/segmentation, forecasting, fraud detection, and / or reinforcement learning
Build prototypes and MVPs of services and applications that improve effectiveness of campaigns, creatives, ad networks and/or user segments.
Required Skills and Experience:
B.S. or B.A. in Math, Statistics, Comp Sci, Engineering, or other quantitative field required; Masters, MBA or PhD preferred
5+ years of relevant work experience in data science or analytics role in a Marketing Analytics or a User Acquisition Analytics Team
Familiar with mobile performance marketing and/or user acquisition landscape
Strong experience in SQL;
Proficient in Python; Proven fundamental programming skills (algorithms, data structures, OOP, OS, Networking, AWS Cloud); Ability to design distributed systems
Ability to build and maintain software services and systems at scale; experience in deploying services in at least one cloud provider (AWS, Google Cloud or Azure)
Proven experience with some of the following: machine learning, predictive modeling, deep learning
Experience in analyzing large datasets, preferably in a Hadoop or Spark environment, and deploying production ready systems at scale
Strong written and oral communication skills
Strong passion for gaming and performance marketing!
Zynga is an equal opportunity employer. We are proud of our broad community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome job-seekers, players, employees, and partners from all backgrounds. Join us!

We will consider all qualified job-seekers with criminal histories in a manner consistent with applicable law.

Zynga is committed to providing reasonable accommodation to applicants with disabilities. If you need an accommodation during the interview process, please let us know.",4.2,"Zynga
4.2","Austin, TX","San Francisco, CA",1001 to 5000 employees,2007,Company - Public,Video Games,Media,$500 million to $1 billion (USD),-1,0,116,181,148.5,Zynga,TX,Austin,13,1,1,0,1,0,0,1,1,0
Senior Data Scientist,"$86K-$137K
(Glassdoor est.)","GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:
Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.

4+ years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics

Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.

Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.

Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language

Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark

Excellent communication skills and experience in working with stakeholders

Passion for extracting hidden insights and building machine learning systems that enhance business outcomes

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications

About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,86,137,111.5,GEICO,MD,Chevy Chase,84,1,1,1,1,0,0,1,1,0
Senior Research Statistician- Data Scientist,"$99K-$110K
(Glassdoor est.)","Acuity is seeking a Senior Research Statistician- Data Scientist to use statistical knowledge and research skills to solve business problems. The Research Statistician will develop, implement, and interpret statistical models with a strong emphasis on data mining and statistical/predictive modeling. Provides work direction.
ESSENTIAL FUNCTIONS:
Identifies and acquires additional data sources, both internal and external, that can be used to enhance analyses.
Lead the development of analytical models to drive superior business outcomes.
Develop in-depth understanding of drivers for optimization by utilizing statistics and data mining techniques.
Using latest PC tools, develop, enhance and monitor reports and models for other business areas.
Evaluate and use Data Mining Tools.
Support, train, encourage, consult other areas in the company and provide actionable information to management.
Continually monitor database information and future needs.
Explore and acquire data from outside sources.
Use database tools to support other departments
Regular and predictable attendance.
Perform other duties as assigned.
EDUCATION:
Masters/PhD in Statistics, Mathematics, Economics, Operations Research or Computer Science
EXPERIENCE:
5 years P&C insurance, modelling and project leader experience. Programming skills including SAS and R.
OTHER QUALIFICATIONS:
Strong interpersonal, quantitative, problem-solving, computer and conceptual skills.
Aptitude in predictive modeling, multivariate analysis, statistical modeling, data mining techniques and mathematical statistics.
Ability to apply strong programming and data management skills.
Knowledge of and experience with at least one major computer programming language or advanced syntax in a major statistical package.
This job is classified as exempt.",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,99,110,104.5,Acuity Insurance,WI,Sheboygan,95,0,0,0,0,0,0,0,0,0
Data Scientist,"$90K-$109K
(Glassdoor est.)","About Us


Interested in working for a human-centered technology company that prides itself on using modern tools and technologies? Want to be surrounded by intensely curious and innovative thinkers?

Seeking to solve complex technical challenges by building products that work for people, meet and exceed the needs of businesses, and work elegantly and efficiently?

Modeling ourselves after the 1904 World's Fair, which brought innovation to the region, 1904labs is seeking top technical talent in St. Louis to bring innovation and creativity to our clients.

Our clients consist of Fortune 500 and Global 2000 companies headquartered here in St. Louis. We partner with them on complex projects that range from reimagining and refactoring their existing applications, to helping to envision and build new applications or data streams to operationalize their existing data. Working in a team-based labs model, using our own flavor of #HCDAgile, we strive to work at the cutting edge of technology's capabilities while solving problems for our clients and their users.

The Role


As a Data Scientist with 1904labs, you will be working with other data scientists, data engineers, and developers to provide analytical services to clients. You will leverage the clients' data assets to answer business questions using best practices and innovative approaches. This will mean employing various data science tools (Python, apache spark, TensorFlow) and techniques (dimensionality reduction, unsupervised learning, supervised learning) to create and test machine learning algorithms. Once tested and verified you will work with development teams to implement the algorithm as a scalable, hosted service.

We're looking for an experienced and creative data scientist who can conceptualize a project from start to finish, identifying the appropriate data and methodologies to use. Our Data Scientists work with open-source machine learning packages and libraries, so this position involves building custom ML/AI utilities from open-source resources in languages such as Python (preferred) and R. In this role, you will own and share technical solutions with both technical and non-technical stakeholders across multiple teams both internally and with external clients.

Responsibilities
Perform data analysis to understand the right combinations of data to meet outlined objectives
Translate client queries into actionable data pulls and help translate outputs into client strategies
Build and evaluate predictive modeling & machine learning utilities to produce meaningful outcomes that enable data-led decisions
Translate analysis results into actionable insights
Present insights to both technical and non-technical audiences
Partner with internal data scientists, developers, and tech teams to develop new methodologies and utilities
Work with development teams to implement data science algorithms as scalable, hosted services
Your Skills
Requirements
Background in math including linear algebra, statistics, probability, and numerical analysis.
Machine Learning Analysis: Must be able to execute, evaluate, and apply various models such as logistic regression, random forests/decision tree, nearest neighbor, neural net, support vector machine, an ensemble of multiple models, etc
Programming: Proficient coding in a language suited for machine learning systems such as Python or R (not reliant on GUI-based systems to execute analysis) for the purpose of cleaning, manipulating, visualizing, and analyzing data
Desired Skills
Experience with software engineering and developing deployable API services
Must be adaptable and have the drive to learn new technologies and frameworks to support developing client solutions
Using browser based interactive computational environments (like Jupyter Notebook) to perform analysis activities and test / evaluate data models and algorithms.
Tools: Spark, Pandas, SciKit-Learn, TensorFlow, Keras, SQL
Communication: Must be able to explain analysis process and translate results into actionable insights for both technical and non-technical audiences
Teamwork: Must be accountable for individual responsibilities while working collaboratively with development and engineering teams to achieve project deliverables
Comfort in an agile development environment (eg. writing stories, participating in workshops, sprint planning and retros)
Perks
Benefits Program (medical, dental, life insurance, 401(k), professional and personal development, PTO)
Innovation Time - we allow 10% of your time to be devoted to innovation hours. This time can be used to foster individual ideas, personal projects, start up ideas, improve an open source tool or for career advancement and self-education. All during traditional working hours.
Dress Code - we don't have one
These roles are located in St. Louis, MO. While we would prefer local candidates your location is not the most important factor; please help us understand why you would like to call St. Louis home if you would be relocating.

]]>",4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,90,109,99.5,1904labs,MO,Saint Louis,4,1,1,0,1,0,1,0,1,0
"Data Scientist, Health Economics & Advanced Analytics","$81K-$134K
(Glassdoor est.)","Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health
3.2","Washington, DC","Washington, DC",201 to 500 employees,2000,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1,0,81,134,107.5,Avalere Health,DC,Washington,20,1,1,1,1,0,0,0,0,0
Systematic Trading Data Scientist,"$49K-$85K
(Glassdoor est.)","Job Description:
Data Science & Product Development


Shape the future of electronic trading products through data and quantitative expertise, and enhance trading experience with predictive science, machine learning and optimization.

The Team


Systematic Trading and Analytics Platform team develops trading capabilities and provides quantitative expertise to the design of next-generation brokerage products in equity, fixed income and prime market. We build trading infrastructure and create trading algorithms to help clients achieve best execution. We work with clients to improve their trading strategy, educate them about market structure and trading tools, and provide consultation to help them solve their unique problems.

The Expertise You Have
A Masters or Ph.D.s degree in Engineering, Computer Science, Applied Mathematics or other relevant quantitative discipline
Minimum 3 years of experience in TCA and equity algorithmic strategy development
Series 7 and 57
The Skills You Bring
Your knowledge in equity market, brokerage business, securities industry rules and regulations
Your experience with Python, KDB/Q or Snowflake to see and understand large amount of data
Your ability to build engineering systems, evaluate and optimize trading algos, routers and venues
Your in-depth data science, machine learning and analytical knowledge to let data tell stories
Your leadership and presentation skill to influence product directions
The Value You Deliver
Crafting and Developing automated detailed trading system
Analyzing trading data and developing models to build impactful insights for performance improvement
Working closely with internal partners and technology team to deliver robust, scalable solutions
Serving as subject matter expert on assigned product(s) and related market segment
Building and improving trading algorithms to achieve best execution for our clients
Certifications:
Category:
Capital Markets Electronic Trading",4.0,"Fidelity Investments
4.0","Boston, MA","Boston, MA",10000+ employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD),"Charles Schwab, Vanguard, Citi",0,49,85,67.0,Fidelity Investments,MA,Boston,74,0,1,0,1,0,0,0,0,0
Data Scientist (Data Analytics Specialist),"$116K-$182K
(Glassdoor est.)","The Position


As a Data Analytics Specialist you will work with clinical trial data to support Pharma Development, helping to generate new evidence and insights into our medicines to support of R&D. You will work with peers across the organization including biostatisticians, scientists, and bioinformaticians using patient level clinical data combined with digital sensor data to answer scientific questions.

We are looking for someone with a passion for data who can take a broad scientific question and distill insights through code, whether that be creating an interactive visualization, a predictive model, or using inferential statistics. This includes the ability to understand the challenges and limitations of the data and thinking of innovative solutions for manipulating and aggregating our data in preparation for analysis. As our projects are done in partnership with other team members and stakeholders, a collaborative and entrepreneurial mindset is critical.

We are a small global team of analysts, and you will collaborate regularly with our team members and stakeholders in South San Francisco, Welwyn, Basel, Mississauga, and Shanghai. As a Data Analytics Specialist, you will support and lead both molecule and non-molecule projects. For molecule-specific projects, you will work with the biometrics study team on tasks such as employing advanced analytical methodology to answer exploratory scientific questions, building interactive displays to promote quicker and more efficient methods for data interrogation, developing solutions to innovate biometrics workflow from data receipt to insights generation, and embedding new ways of working into the teams. Non-molecule work could involve scientific software development in R, internal infrastructure building, and supporting or leading cross-functional analytical projects.

As you onboard, you will receive comprehensive mentoring to develop good coding practices along with our reproducible workflow using R packages and GitHub. Additionally you will be encouraged to attend and present at industry conferences to continuously develop your data science skill set and expand your network. At Genentech, your continued growth is important, and you will be supported through continued learning opportunities including courses, seminars,and workshops.

If you are proud of contributing and feel you have the commitment to teamwork and innovation that we are seeking, then Genentech is the organisation for you. In return we offer a competitive salary plus the excellent benefits you would expect from a blue-chip organisation, including a genuine interest in your development and progression.

Required Education and Experience:
Advanced degree in biostatistics, statistics, computer science, mathematics, or the biological sciences
Advanced hands-on R programming experience, preferably in support of clinical trial analysis
3+ years of experience applying statistical inference and machine learning methodologies to scientific data
Preferred Skills and Experience:
Has a good foundation in computer science and has strong knowledge in computational statistics including statistical learning
Has experience performing complex data manipulation in preparation for analysis
Is familiar with established interactive data visualization packages such as Shiny, plotly, etc.
Has experience building packages in R
Has passion for reproducible and reusable analysis by packaging modular code, using version control, or using containerized computing environments
Is comfortable being an advocate and resource for analytic or development best practices
Is familiar with the regulatory framework and guidelines for pharma products
Is able to communicate with colleagues possessing varying technical backgrounds and can negotiate effectively
Is able to explain technical concepts to a non-technical audience; enjoys sharing learnings and mentoring peers
Has good knowledge of English in a business environment
Who We Are


A member of the Roche Group, Genentech has been at the forefront of the biotechnology industry for more than 40 years, using human genetic information to develop novel medicines for serious and life-threatening diseases. Genentech has multiple therapies on the market for cancer & other serious illnesses. Please take this opportunity to learn about Genentech where we believe that our employees are our most important asset & are dedicated to remaining a great place to work.

The next step is yours. To apply today, click on the ""Apply online"" button.

Genentech is an equal opportunity employer & prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital & veteran status. For more information about equal employment opportunity, visit our Genentech Careers page.

Job Facts
JOB FUNCTION
Clinical Development COMPANY/DIVISION
Pharmaceuticals SCHEDULE
Full time JOB TYPE
Regular",4.0,"Genentech
4.0","South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,116,182,149.0,Genentech,CA,South San Francisco,44,0,0,1,1,0,0,0,0,0
Data Scientist II (Miami),"$90K-$145K
(Glassdoor est.)","OfferUp is dedicated to building the simplest and most trustworthy way for people to buy and sell in their communities. Every year, millions of people use OfferUp to buy and sell locally, resulting in billions of dollars of local commerce. As the largest mobile marketplace for local buyers and sellers in the U.S., our iOS and Android app has been in the top five most popular shopping apps lists for more than three years. Join us as we build the marketplace of the future and reinvent local commerce by helping consumers uncover value through simplicity and trust.

At a Glance
85M+ Downloads
Geekwire App of Year
15+ percent of adults in key markets like Los Angeles, Seattle, Miami and Las Vegas use OfferUp every month
About the role:

OfferUp is looking for a Data Scientist II to join our team. The right candidate will have a passion for manipulating and using new and existing data sources to help drive actionable recommendations. We seek to delight our users with the safest, simplest and most effective local marketplace app on the planet. Your role as a Data Scientist will be to research, design, implement and evaluate machine learning models and algorithms to make our products more intelligent.

Here's more of what you will get to do:
Design and measure experiments to test in various cross-functional areas to challenge hypotheses and come up with actionable recommendations.
Identify opportunities and drive results across the company in product search, personalization recommender, crime risk modeling, user reputation, etc.
Develop end-to-end experimentation-driven product improvements from conception/research, to offline testing, then live A/B testing and finally shipping to production.
Act as an analytics advisor to solve business problems using data.
Leverage the latest machine learning technologies to solve complex business problems.
You'll thrive in this role if you have:
4+ years of demonstrated experience with machine learning or data science
Expertise around programming languages such as Python or Java
Hands-on experience in predictive modeling and analyses to solve real business problems
Strong analysis, problem solving, data structures and algorithm development background
PhD or Master's Degree in Computer Science, Mathematics, Statistics or a technical related field
A passion for working with large data sets
Must be eligible to work in the United States
Helpful, but not required:
Experience working in e-commerce and mobile marketplaces
Experience integrating code into a live production environment
Some experience in some the following: entity extraction, semantics in text, image recognition, recommender systems, ranking, LDA, classification
OfferUp is changing the way people buy and sell locally and we've built a dynamic team to do it. To learn more about what it's like to work at OfferUp, check out our blog: https://blog.offerup.com/tagged/culture

OfferUp provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, OfferUp complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, transfer, leaves of absence, compensation, and training.

OfferUp expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of OfferUp's employees to perform their job duties may result in discipline up to and including discharge.",3.4,"OfferUp
3.4","Miami, FL","Bellevue, WA",201 to 500 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Letgo, 5miles, Facebook",0,90,145,117.5,OfferUp,FL,Miami,9,0,1,0,1,0,0,1,0,0
